<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GAZP,1,20200302,152000,198.7000000,198.9000000,197.1300000,197.7700000
GAZP,1,20200302,152100,197.7700000,198.9800000,197.5800000,198.8400000
GAZP,1,20200302,152200,198.8800000,199.1100000,197.8400000,197.8400000
GAZP,1,20200302,152300,197.9100000,198.1700000,197.3700000,197.6600000
GAZP,1,20200302,152400,197.6600000,198.0000000,197.6000000,197.9200000
GAZP,1,20200302,152500,197.8400000,198.0000000,197.3700000,197.7500000
GAZP,1,20200302,152600,197.7600000,198.7400000,197.5000000,197.8100000
GAZP,1,20200302,152700,197.7600000,198.9500000,197.7100000,198.7400000
GAZP,1,20200302,152800,198.8100000,199.0000000,198.4500000,198.7000000
GAZP,1,20200302,152900,198.7100000,199.3000000,198.6100000,199.2100000
GAZP,1,20200302,153000,199.3400000,199.3400000,198.3100000,198.6800000
GAZP,1,20200302,153100,198.6700000,198.6800000,197.7000000,197.8900000
GAZP,1,20200302,153200,197.8900000,198.0000000,196.8000000,197.6000000
GAZP,1,20200302,153300,197.6300000,197.7100000,197.2100000,197.5000000
GAZP,1,20200302,153400,197.5000000,197.7600000,196.3300000,196.4400000
GAZP,1,20200302,153500,196.4600000,196.9300000,195.8900000,196.6300000
GAZP,1,20200302,153600,196.6300000,197.0000000,196.5200000,197.0000000
GAZP,1,20200302,153700,197.0000000,197.5000000,196.3700000,197.4100000
GAZP,1,20200302,153800,197.4100000,197.6400000,196.9200000,197.3800000
GAZP,1,20200302,153900,197.3800000,197.4200000,197.0000000,197.1100000
GAZP,1,20200302,154000,197.0400000,197.8800000,197.0300000,197.5400000
GAZP,1,20200302,154100,197.6200000,197.6700000,196.1300000,196.3800000
GAZP,1,20200302,154200,196.3000000,196.7200000,196.2200000,196.6900000
GAZP,1,20200302,154300,196.6900000,196.9300000,196.1600000,196.2500000
GAZP,1,20200302,154400,196.1600000,196.3000000,195.5100000,195.6600000
GAZP,1,20200302,154500,195.7000000,196.2500000,195.6600000,196.2000000
GAZP,1,20200302,154600,196.1300000,196.6600000,195.5200000,195.7100000
GAZP,1,20200302,154700,195.7000000,196.2500000,195.6000000,196.2500000
GAZP,1,20200302,154800,196.2800000,196.3800000,196.0000000,196.2600000
GAZP,1,20200302,154900,196.2700000,196.9100000,196.2700000,196.4700000
GAZP,1,20200302,155000,196.4700000,196.9100000,196.4000000,196.5000000
GAZP,1,20200302,155100,196.5000000,197.6700000,196.5000000,197.5000000
